gene_name,SCZ.log2FC,SCZ.fdr
GAS2L3,-0.140249737,0.000179608
GAS5,0.028750258,0.167007296
GAS5-AS1,-0.022967953,0.742442022
GAS6,0.008198817,0.679918416
GAS6-AS2,0.004207167,0.921964841
GAS7,-0.023825187,0.237492768
GAS8,-0.001442146,0.963702513
GATA2,-0.150288176,0.00739511
GATAD1,-0.008565054,0.639924726
GATAD2A,0.03436508,0.050466765
GATAD2B,0.003213072,0.901614837
GATC,-0.067291987,0.002857807
GATM,0.001090145,0.97743655
GATS,-0.016522017,0.947665494
GATS,-0.038007725,0.062465738
GATSL1,-0.114463663,0.466071277
GATSL2,-0.051221915,0.129632917
GATSL3,0.127856503,0.000841891
GBA,-0.03521993,0.041656781
GBA2,-0.019266797,0.137174363
GBAP1,-0.041465173,0.210796178
GBAS,-0.021226784,0.294055873
GBE1,-0.013949521,0.510201824
GBF1,0.034686301,0.004857271
GBGT1,0.034585399,0.337834207
GBP1,0.178694673,0.009454091
GBP1P1,0.046396782,0.67731326
GBP2,0.120978542,0.074285655
GBP3,0.019780823,0.849122338
GBP4,-0.140100348,0.014637052
GBP5,0.042266993,0.644993016
GCA,-0.015967803,0.49521015
GCAT,0.096288003,4.14E-10
GCC1,0.018799803,0.407058298
GCC2,-0.014757962,0.467191304
GCDH,0.043202953,0.070169554
GCFC2,-0.012604092,0.536846315
GCH1,-0.001310949,0.983233077
GCHFR,0.087308647,0.000221369
GCK,0.116578358,3.08E-05
GCKR,0.055229595,0.337086983
GCLC,0.009145906,0.70723576
GCLM,0.001335302,0.96905142
GCN1L1,0.018700271,0.134004693
GCNT1,-0.043802805,0.171230476
GCNT1P1,-0.018785411,0.839569603
GCNT1P2,-0.068614476,0.351458262
GCNT1P3,-0.009760965,0.929245664
GCNT2,-0.020740426,0.569937875
GCNT4,-0.02000893,0.697638863
GCOM1,0.079083486,0.632577949
GCOM2,0.075575539,0.313260353
GCSH,-0.026551012,0.212607565
GCSHP3,0.107246268,0.517342913
GCSHP5,0.139686165,0.242061776
GDA,0.006863088,0.822643316
GDAP1,0.015842114,0.278955588
GDAP1L1,0.018453888,0.269386262
GDAP2,0.00107419,0.956757234
GDE1,-0.024214449,0.04131791
GDF1,0.076252142,0.422739311
GDF10,0.192581433,2.41E-09
GDF11,-0.033555973,0.185128117
GDF15,0.042163959,0.778781534
GDF6,-0.085137802,0.096752034
GDF7,-0.033015494,0.501631627
GDF9,0.061055043,0.0759351
GDI1,0.019463879,0.209509688
GDI2,-0.001934848,0.906764124
GDI2P2,-0.050558052,0.550237776
GDNF,0.052836038,0.579298557
GDNF-AS1,0.038239061,0.549936348
GDPD1,-0.045935973,0.017328517
GDPD2,0.189971244,0.000249321
GDPD3,0.012987452,0.885055429
GDPD5,-0.023686705,0.302402459
GDPGP1,-0.016084389,0.613137323
GEM,0.13244879,0.023148252
GEMIN2,-0.001496013,0.950031934
GEMIN4,0.022645575,0.166985002
GEMIN5,0.017245115,0.198986944
GEMIN6,0.000718568,0.979518031
GEMIN7,-0.041370267,0.036320822
GEMIN8,-0.00236846,0.945842049
GEMIN8P4,0.005694449,0.942792408
GEN1,-0.056401529,0.0204971
GET4,0.047206486,0.000425023
GFAP,0.141730433,0.001563928
GFER,-0.025712005,0.103422396
GFM1,-0.035678288,0.000291256
GFM2,0.001497131,0.953702309
GFOD1,-0.011036561,0.665350141
GFOD2,-0.01250057,0.445158846
GFPT1,0.019105219,0.132066153
GFPT2,0.071662718,0.000623173
GFRA1,0.094863104,0.001812077
GFRA2,-0.038509318,0.076458716
GGA1,-0.00473162,0.730621669
GGA2,0.035500657,0.003409507
GGA3,-0.012188578,0.506144299
GGACT,0.063183727,0.178235608
GGCT,0.015474082,0.508554687
GGCX,0.012010367,0.466097053
GGH,0.004118941,0.886105135
GGN,-0.05351518,0.352792793
GGNBP1,-0.125714907,0.232542124
GGNBP2,0.035128626,0.001551493
GGPS1,-0.047435794,1.5E-06
GGT1,0.013079518,0.741731776
GGT3P,0.179629364,0.076790344
GGT5,0.129676814,0.004685379
GGT7,0.005347115,0.818529491
GGTA1P,-0.02075344,0.636716995
GGTA2P,-0.089337313,0.159792707
GHDC,0.018986414,0.307700702
GHITM,0.005705406,0.703654846
GHR,0.111236211,8.92E-06
GHRH,-0.257324725,0.000899783
GHRHR,0.016906111,0.8946917
GHRL,-0.101198186,0.196475262
GHRLOS,-0.018735836,0.794043301
GID4,0.011704798,0.407852402
GID8,0.002538305,0.8855439
GIGYF1,-0.009428354,0.61069676
GIGYF2,-0.014714561,0.203038281
GIMAP1,-0.126540446,0.002230716
GIMAP2,-0.108778713,0.015446716
GIMAP4,-0.104494476,0.004320026
GIMAP5,-0.031551577,0.545059547
GIMAP6,-0.203278622,2.03E-07
GIMAP7,-0.149722384,0.001947794
GIMAP8,-0.173963776,3.24E-05
GIN1,-0.002478536,0.905473512
GINM1,0.00412983,0.842783279
GINS1,0.045245594,0.049623136
GINS2,0.113146249,0.000614603
GINS3,-0.003996429,0.925022305
GINS4,-0.05219742,0.314342267
GIPC1,0.002440917,0.917391445
GIPC2,0.044766374,0.320486195
GIPC3,-0.066115033,0.43563877
GIPR,-0.004448767,0.973561609
GIT1,0.012065934,0.471498631
GIT2,-0.032875966,0.007847985
GJA1,0.168622547,0.003007063
GJA1P1,-0.014833822,0.881184067
GJA4,0.061091907,0.343789988
GJA5,-0.087322158,0.247251849
GJA6P,0.008001317,0.930304473
GJA9,-0.157189564,0.15593179
GJB1,-0.215687158,0.002154714
GJB2,0.073706486,0.436018027
GJB3,-0.144723134,0.037829814
GJB5,-0.020993057,0.815394432
GJB6,0.17501521,0.007802978
GJC1,-0.01768485,0.618946718
GJC2,-0.145614406,0.000944995
GJC3,-0.020336797,0.85074038
GJD2,-0.035373471,0.341766792
GJD4,-0.004678999,0.96905142
GK,0.038565011,0.024835906
GK-AS1,0.07741006,0.296689399
GK3P,0.010098291,0.924002836
GK5,-0.038892299,0.094083254
GKAP1,0.023239605,0.217679263
GLA,0.003969238,0.908924476
GLB1,0.021123326,0.143354316
GLB1L,0.002812357,0.945136363
GLB1L2,0.104146755,1.55E-05
GLB1L3,0.012851332,0.65998939
GLCCI1,-0.044854867,0.008016051
GLCE,-0.083257293,2.07E-07
GLDC,0.032518163,0.178984906
GLDN,-0.131322539,0.022699567
GLE1,0.015126702,0.286341406
GLG1,0.008189551,0.633960616
GLI1,0.021349403,0.85335061
GLI2,0.192254507,0.00148374
GLI3,0.097079089,0.084756748
GLI4,-0.01850097,0.470986521
GLIPR1,-0.066295127,0.011282868
GLIPR1L1,-0.092393655,0.132196232
GLIPR1L2,0.008399632,0.925553309
GLIPR2,-0.036133376,0.432935288
GLIS1,0.060179875,0.097723484
GLIS2,0.051946954,0.077140638
GLIS3,0.183982746,7.16E-09
GLMN,-0.01949055,0.30880728
GLO1,-0.004782864,0.756136726
GLOD4,0.027177608,0.052373519
GLP2R,0.004117134,0.970844619
GLRA1,0.186430667,0.010015675
GLRA2,-0.040578281,0.213121202
GLRA3,0.07893906,0.00176466
GLRA4,0.007067503,0.942187111
GLRB,-0.005100716,0.847979291
GLRX,0.074727343,0.014637052
GLRX2,-0.02397289,0.324668859
GLRX3,-0.030816991,0.012091759
GLRX5,-0.020157045,0.162391648
GLS,-0.007979929,0.72998364
GLS2,0.012101499,0.670024059
GLT1D1,-0.034195216,0.056775653
GLT8D1,-0.005962696,0.681566159
GLT8D2,-0.035570194,0.161268001
GLTP,-0.135839267,1.25E-05
GLTPD1,-0.015431461,0.44800931
GLTPD2,-0.04365813,0.649585577
GLTSCR1,-0.015835289,0.61069676
GLTSCR1L,-0.013114359,0.337205338
GLTSCR2,0.023973254,0.245758327
GLUD1,0.055377577,0.024007112
GLUD1P2,0.031019466,0.554629262
GLUD1P3,-0.028462076,0.564211904
GLUD2,0.013389104,0.701997102
GLUL,0.064279469,0.152013486
GLYATL1,-0.0169258,0.84756184
GLYATL2,0.041399535,0.544153322
GLYCTK,-0.121402404,5.56E-05
GLYR1,-0.0075276,0.607296962
GM2A,-0.005731005,0.845507407
GMCL1,-0.008078714,0.691021274
GMDS,0.020795234,0.343192347
GMDS-AS1,-0.016168782,0.500249766
GMEB1,-0.024175416,0.128370284
GMEB2,-0.038677366,0.012939095
GMFB,-0.016487943,0.320938056
GMFG,-0.031792618,0.484293991
GMIP,-0.008730047,0.835573477
GMNC,-0.13947059,0.027053258
GMNN,0.10622101,0.000453631
GMPPA,-0.012027932,0.493727436
GMPPB,-0.018136117,0.723093934
GMPR,0.198812294,4.19E-07
GMPR2,0.00627254,0.725406541
GMPS,-0.006075429,0.633014466
GNA11,-0.018972391,0.237112445
GNA12,0.093447433,1.72E-05
GNA13,0.048697304,0.058379695
GNA14,0.104615122,0.0036384
GNA15,-0.010536591,0.855372741
GNAI1,-0.037926446,0.058198536
GNAI2,0.015622109,0.34075304
GNAI3,0.048145928,0.001502797
GNAL,-0.057838134,0.002687417
GNAO1,-0.024825585,0.162642619
GNAQ,-0.009683372,0.366415714
GNAQP1,-0.105127396,0.216329606
GNAS,0.009131773,0.642872061
GNAZ,-0.014676209,0.367588771
GNB1,-0.005793046,0.675188708
GNB1L,-0.01095023,0.800969889
GNB2,0.045785887,0.001225316
GNB2L1,0.019739183,0.212725377
GNB3,-0.042954649,0.465243341
GNB4,-0.0424557,0.125120625
GNB5,-0.00443977,0.830431118
GNE,-0.005257725,0.800478553
GNG10,0.013632978,0.601053944
GNG11,-0.078673328,0.008384247
GNG12,0.127788617,2.13E-05
GNG12-AS1,0.031539588,0.753431141
GNG13,0.079920747,0.379916402
GNG2,-0.002089072,0.950031934
GNG3,-0.042335467,0.097255813
GNG4,-0.054746738,0.031236608
GNG5,0.041878264,0.305329619
GNG5P2,-0.089706317,0.327538779
GNG7,-0.067953937,4.46E-05
GNGT2,-0.128141459,0.06743073
GNL1,-0.01442812,0.340842156
GNL2,0.000133231,0.99462935
GNL3,-0.003076114,0.887550793
GNL3L,-0.015161799,0.646679339
GNL3LP1,-0.009346999,0.924002836
GNLY,-0.24779521,0.004863956
GNMT,-0.054658364,0.562968156
GNPAT,-0.015744846,0.227533202
GNPDA1,0.009104499,0.630788525
GNPDA2,0.018261752,0.203589249
GNPNAT1,0.007029781,0.7303426
GNPTAB,-0.016584665,0.191465755
GNPTG,-0.044334169,0.00013465
GNRH1,0.03162221,0.533639086
GNRH2,-0.097446241,0.290519024
GNRHR,-0.093833826,0.027028911
GNRHR2,0.01128778,0.771910327
GNS,0.000518692,0.979307495
GOLGA1,-0.009969211,0.495527806
GOLGA2,-0.012768422,0.399985121
GOLGA2B,0.100231395,0.005772361
GOLGA3,-0.004190634,0.804793294
GOLGA4,0.003114395,0.903660775
GOLGA5,0.000188656,0.990677855
GOLGA6A,0.124308602,0.074075224
GOLGA6L3,0.075209009,0.580408193
GOLGA6L4,0.098170648,0.016754994
GOLGA6L5,0.008298363,0.895625305
GOLGA6L7P,-0.013575827,0.893046743
GOLGA6L9,0.074650056,0.023950029
GOLGA7,-0.029657188,0.163902917
GOLGA7B,0.061881451,0.222683511
GOLGA7B,0.007855467,0.746859958
GOLGA8A,-0.044775257,0.227336527
GOLGA8B,-0.053938932,0.403423169
GOLGA8H,0.12077345,0.283663225
GOLGA8I,0.013031342,0.829306763
GOLGA8K,-0.001849215,0.991552003
GOLGA8M,0.059809883,0.303292036
GOLGA8N,-0.004964048,0.964218373
GOLGA8O,-0.066857664,0.700227598
GOLGA8Q,0.058814573,0.652894177
GOLGA8R,0.059565545,0.389224756
GOLGA8S,-0.002273062,0.979518031
GOLGA8T,0.027832567,0.857605483
GOLGB1,0.019464213,0.203085495
GOLIM4,0.046175673,0.134373035
GOLM1,0.031786641,0.047418444
GOLPH3,-0.020578862,0.102337793
GOLPH3L,0.050383241,0.014657949
GOLT1A,0.09726352,0.093214461
GOLT1B,-0.023983334,0.116049726
GON4L,0.005979898,0.677465466
GOPC,0.034282683,0.001154585
GORAB,0.007668307,0.742442022
GORASP1,0.010552081,0.406803402
GORASP2,0.00916888,0.63030643
GOSR1,0.006178419,0.649461757
GOSR2,-0.00314459,0.853236739
GOT1,0.00505864,0.870818682
GOT2,0.015299573,0.358088757
GOT2P2,0.006476472,0.95694119
GP1BA,0.043964075,0.576998546
GP1BB,-0.002742779,0.968809386
GP6,-0.009095748,0.915846168
GPAA1,-0.007116655,0.7157819
GPALPP1,-0.012369438,0.434832995
GPAM,0.085937525,0.036516623
GPANK1,0.012732981,0.570530159
GPAT2,0.04799187,0.486936135
GPATCH1,0.01347084,0.373012217
GPATCH11,-0.001102653,0.955010105
GPATCH2,0.03913625,0.000562509
GPATCH2L,-0.002573908,0.864123162
GPATCH3,0.019646336,0.285556073
GPATCH4,-0.034642146,0.092807441
GPATCH8,0.012387681,0.395912655
GPBP1,0.020036932,0.043734369
GPBP1L1,-0.013428048,0.183576858
GPC1,-0.020154337,0.325574278
GPC2,-0.057235234,0.241971089
GPC3,-0.019065259,0.844805191
GPC4,0.066524622,0.013045942
GPC5,0.138344677,0.00223925
GPC5-IT1,0.014499063,0.893127462
GPC6,0.024468256,0.452667259
GPCPD1,-0.122322646,2.95E-06
GPD1,-0.219508036,6.3E-07
GPD1L,0.0357959,0.014702435
GPD2,0.040557411,0.019298391
GPER1,-0.01755333,0.758468576
GPHN,0.001360376,0.942655718
GPI,0.03865883,0.001563236
GPIHBP1,-0.046186965,0.57017122
GPKOW,0.006296868,0.745557329
GPLD1,-0.090123023,3.98E-06
GPM6A,0.022846092,0.161792799
GPM6B,-0.019443827,0.390640894
GPN1,0.007358101,0.717456279
GPN2,0.013344948,0.401436519
GPN3,-0.00243826,0.912988206
GPNMB,0.141500082,0.039260288
GPR107,0.004722484,0.775667866
GPR108,-0.020144755,0.405230969
GPR113,0.025336948,0.668622939
GPR116,-0.016902723,0.632993943
GPR12,0.005605489,0.858667407
GPR123,-0.044024157,0.027667429
GPR124,-0.09045156,0.0004098
GPR125,0.097554254,0.008257776
GPR126,-0.149958737,0.000169148
GPR132,-0.086069855,0.085700488
GPR133,0.045191179,0.294537389
GPR135,-0.008827144,0.728440257
GPR137,-0.000896816,0.973287748
GPR137B,0.045198207,0.084136663
GPR137C,0.023900056,0.295244493
GPR141,-0.055395835,0.628871291
GPR143,0.095820171,0.041627461
GPR146,0.100445495,0.033744079
GPR149,-0.12758287,0.004043351
GPR150,0.045736453,0.335150759
GPR151,0.063757391,0.217910969
GPR153,-0.044563704,0.160544788
GPR155,0.02319226,0.230497807
GPR156,0.137924634,0.001278687
GPR157,0.043635876,0.452014314
GPR158,-0.037116529,0.062842806
GPR158-AS1,0.03302566,0.530694141
GPR160,0.042159961,0.451635028
GPR161,0.03046802,0.275777391
GPR162,-0.006737814,0.774187706
GPR17,-0.111410565,0.047880205
GPR171,0.049753953,0.573452471
GPR173,0.011639411,0.520654091
GPR176,0.028097805,0.073253229
GPR179,-0.016895302,0.699497328
GPR18,-0.018115021,0.838137305
GPR180,-0.000654843,0.976194366
GPR183,-0.328899728,1.56E-05
GPR19,-0.01038431,0.778599148
GPR20,-0.134573663,0.129575728
GPR21,-0.078802033,0.005312845
GPR22,0.036777231,0.123089276
GPR26,-0.017068254,0.708431789
GPR27,0.065392697,0.000808177
GPR3,-0.165066688,0.007264619
GPR34,-0.216028545,0.003052735
GPR35,0.088458677,0.051951911
GPR37,-0.162451856,0.002392677
GPR37L1,0.010326352,0.88549356
GPR39,0.013707324,0.8946917
GPR4,0.279319952,0.00039069
GPR45,0.019432083,0.733858582
GPR52,-0.012056417,0.842829725
GPR55,-0.023753875,0.82171964
GPR56,0.078177855,0.044949094
GPR6,0.344239675,3.57E-08
GPR61,-0.101220395,1.21E-08
GPR62,-0.116697926,0.031436399
GPR63,0.015722321,0.56884222
GPR64,0.010435631,0.904903011
GPR65,0.019632592,0.874094851
GPR68,-0.069826934,0.030866583
GPR75,0.052779053,0.094083847
GPR75-ASB3,0.037719945,0.00308544
GPR78,-0.182215753,0.025895391
GPR79,0.008501674,0.923187349
GPR82,-0.055306835,0.575367894
GPR83,0.070413676,0.0855013
GPR84,0.252368129,0.014284148
GPR85,-0.097008838,2.57E-05
GPR87,-0.087312245,0.152657445
GPR88,0.137475555,1.45E-06
GPR89A,0.022676091,0.23255969
GPR89B,0.000946326,0.979518031
GPR89C,-0.077941177,0.138304164
GPR98,0.083234021,0.093453335
GPRASP1,0.007401903,0.762326729
GPRASP2,0.002596135,0.922182827
GPRC5A,0.235740602,0.049333565
GPRC5B,0.001252232,0.979307495
GPRC5C,0.035683761,0.404446648
GPRIN1,0.022423498,0.234884222
GPRIN2,-0.046571614,0.36933339
GPRIN3,0.02715681,0.363721613
GPS1,-0.002978589,0.858977942
GPS2,-0.021072286,0.244224938
GPSM1,-0.007478995,0.736574826
GPSM2,-0.047200552,0.040240151
GPSM3,-0.053805967,0.35981148
GPT,0.026124251,0.600745508
GPT2,0.063742674,0.007117775
GPX1,0.007857469,0.816749154
GPX1P1,-0.052923765,0.800412841
GPX2,-0.087625452,0.284388377
GPX3,0.050703569,0.204470725
GPX4,-0.007817031,0.667145283
GPX7,-0.033591534,0.288982769
GPX8,-0.055806707,0.562530674
GRAMD1A,0.048255252,0.00693018
GRAMD1B,-0.020130664,0.164229147
GRAMD1C,0.122954873,0.00066392
GRAMD2,0.163496069,1.73E-07
GRAMD3,0.110405825,7.91E-05
GRAMD4,-0.037956512,0.029816115
GRAP,-0.172931984,4.98E-05
GRAP2,-0.105594114,0.247236763
GRAPL,-0.071409587,0.561010692
GRASP,-0.075763047,0.006849714
GRB10,0.000482927,0.982997211
GRB14,0.142074698,7.71E-05
GRB2,0.004007494,0.816749154
GRB7,0.116313009,0.112523943
GREB1,0.028889795,0.153292143
GREB1L,0.044052687,0.241407006
GREM1,-0.164388137,0.009083015
GREM2,0.013746162,0.716838016
GRHL1,0.003506933,0.931487258
GRHPR,-0.010436129,0.551718328
GRIA1,0.023857932,0.186481033
GRIA2,0.002205666,0.924002836
GRIA3,-0.001271639,0.960715801
GRIA4,-0.01103167,0.605997192
GRID1,-0.002667622,0.904903011
GRID2,0.033199021,0.253043002
GRID2IP,-0.046093624,0.428925677
GRIK1,-0.063392291,0.016452154
GRIK1-AS1,0.010623433,0.924049056
GRIK1-AS2,-0.085580174,0.141137431
GRIK2,0.000795775,0.979453285
GRIK3,-0.098877612,2.9E-05
GRIK4,-0.014470506,0.600212132
GRIK5,-0.003106646,0.89786712
GRIN1,0.039259486,0.044213797
GRIN2A,-0.036196665,0.094948891
GRIN2B,0.01668108,0.532604527
GRIN2C,0.138774463,0.002246619
GRIN2D,0.023540565,0.487110181
GRIN3A,0.042697695,0.120905771
GRINA,0.020951683,0.302330912
GRIP1,-0.00417124,0.906748976
GRIP2,-0.065973823,0.00700492
GRIPAP1,-0.002173867,0.927069433
GRK4,-0.019863719,0.284125575
GRK5,0.020846461,0.373666227
GRK6,-0.014277473,0.324679013
GRK6P1,-0.039138991,0.58835439
GRM1,0.042831387,0.037062692
GRM2,-0.067125626,0.017367108
GRM3,-0.048759343,0.044417676
GRM4,-0.013817203,0.73322364
GRM5,0.043179193,0.098503389
GRM5-AS1,0.075377031,0.415694258
GRM6,-0.032775614,0.641066928
GRM7,0.021042536,0.317210143
GRM7-AS2,0.011676788,0.877128939
GRM8,0.011031973,0.699956117
GRN,0.025608761,0.338930847
GRP,-0.007649293,0.946709877
GRPEL1,0.029078241,0.020456653
GRPEL2,0.036201782,0.035624519
GRPR,-0.022104366,0.762815824
GRSF1,-0.00852248,0.504742074
GRTP1,0.065203428,0.187960062
GRWD1,-0.001646555,0.946001786
GS1-114I9.1,-0.022253473,0.829902109
GS1-115G20.1,0.111314869,0.115126224
GS1-115G20.2,-0.03136712,0.628852769
GS1-124K5.11,-0.086270995,0.001154349
GS1-124K5.12,-0.030383587,0.298254923
GS1-124K5.2,-0.006074515,0.924858003
GS1-124K5.3,-0.115971537,0.041770542
GS1-124K5.4,0.007748714,0.881943415
GS1-124K5.6,-0.006551331,0.945623501
GS1-124K5.9,0.002266973,0.985990303
GS1-165B14.2,0.019846715,0.752759236
GS1-166A23.2,-0.010856778,0.891453587
GS1-18A18.1,0.024684327,0.509037897
GS1-18A18.2,-0.015019565,0.884746692
GS1-251I9.4,-0.007202314,0.68039212
GS1-257G1.1,0.009364655,0.946001786
GS1-259H13.10,0.063802741,0.68016724
GS1-259H13.2,0.011651038,0.900281312
GS1-259H13.7,0.017953139,0.842783279
GS1-279B7.2,-0.078412396,0.410913209
GS1-293C5.1,-0.025938152,0.801071723
GS1-304P7.1,0.016693404,0.83635584
GS1-304P7.2,-0.051577356,0.449900084
GS1-304P7.3,-0.040892173,0.674119185
GS1-358P8.4,0.029153623,0.271236084
GS1-393G12.12,-0.020370618,0.846218618
GS1-393G12.14,0.001620072,0.98891604
GS1-39E22.2,-0.000928459,0.993030805
GS1-519E5.1,0.019068293,0.855980242
GS1-57L11.1,-0.063045028,0.562612257
GS1-72M22.1,-0.007821118,0.824619093
GSAP,-0.016808519,0.544799633
GSDMB,0.031896519,0.392002521
GSDMC,-0.19045278,0.052058209
GSDMD,0.000218855,0.996396962
GSE1,-0.047245628,0.007802978
GSG1,-0.147411104,0.02824349
GSG1L,-0.030978132,0.253203878
GSK3A,0.018724446,0.320938056
GSK3B,-0.022494587,0.060431519
GSKIP,-0.009498466,0.670417454
GSN,-0.030597577,0.42283522
GSN-AS1,-0.083867495,0.290248281
GSPT1,0.010872726,0.477194438
GSPT2,0.005579906,0.765054249
GSR,0.021142395,0.087635853
GSS,-0.000198252,0.994100119
GSTA1,-0.168074267,0.329683251
GSTA4,-0.025573487,0.158233802
GSTCD,0.00409046,0.864949584
GSTK1,-0.007675108,0.633534203
GSTM1,0.434141887,0.244172365
GSTM2,0.008854341,0.817529233
GSTM3,0.11061781,0.000498101
GSTM3P1,-0.075294243,0.288813952
GSTM4,0.05794436,0.004801646
GSTM5,0.06523869,0.571703971
GSTO1,-0.000912314,0.976194366
GSTO2,0.065168398,0.039132334
GSTP1,0.029291103,0.115236524
GSTT1,-0.096617998,0.808253634
GSTT2,-0.119187301,0.301036074
GSTT2B,-0.024941345,0.898008175
GSTZ1,-0.051272336,0.047447273
GSX2,0.084278959,0.266748183
GTDC1,-0.035806454,0.006831523
GTF2A1,0.028821792,0.012711313
GTF2A1L,0.093103086,0.513502503
GTF2A2,-0.038909371,0.00878756
GTF2B,0.038894014,0.001837602
GTF2E1,-0.005518486,0.79538964
GTF2E2,0.040550342,0.019724891
GTF2F1,0.03079627,0.030253704
GTF2F2,0.005679022,0.77185498
GTF2F2P1,0.049270077,0.631694025
GTF2H1,-0.035807351,0.004319547
GTF2H2,-0.047252869,0.455569445
GTF2H2B,-0.027643463,0.857130627
GTF2H2C,-0.032237386,0.346878952
GTF2H3,-0.012626013,0.446730664
GTF2H4,-0.000952297,0.978425726
GTF2H5,-0.017163824,0.323933885
GTF2I,-0.039253435,1.41E-05
GTF2IP1,-0.08406933,0.070529319
GTF2IRD1,0.068557161,7.96E-06
GTF2IRD1P1,0.192843152,0.09524709
GTF2IRD2,-0.03837097,0.232117693
GTF2IRD2B,0.000256288,0.994277567
GTF3A,-0.023401499,0.108470651
GTF3C1,0.010431022,0.46815072
GTF3C2,-0.001122852,0.950516125
GTF3C3,0.014566457,0.249764644
GTF3C4,-0.002585133,0.888098539
GTF3C5,0.009971154,0.517630876
GTF3C6,-0.007919346,0.752795859
GTPBP1,0.03391496,0.018357866
GTPBP10,0.012761483,0.371933259
GTPBP2,-9.65E-06,0.999567785
GTPBP3,0.016325192,0.50374174
GTPBP4,-0.001054001,0.958567661
GTPBP6,0.01012166,0.69223176
GTPBP8,-0.040291154,0.014388664
GTSE1,0.097639432,0.2337498
GTSF1,-0.111163934,0.379002303
GUCA1A,0.151943234,0.002250685
GUCA1B,0.043918794,0.653899999
GUCA1C,0.000736483,0.996212067
GUCD1,-0.021036675,0.214156302
GUCY1A2,0.001192491,0.96260609
GUCY1A3,-0.031375098,0.097116189
GUCY1B3,0.020143352,0.225437106
GUCY2D,0.005530165,0.966018254
GUF1,-0.014616316,0.324824776
GUK1,-0.008152808,0.692479451
GULP1,0.007310114,0.84546909
GUSB,-0.011153022,0.574987431
GUSBP1,0.062298953,0.211498838
GUSBP11,-0.011752181,0.716890328
GUSBP2,-0.019703179,0.771845339
GUSBP3,-0.030065409,0.614613872
GUSBP4,0.016682255,0.79538964
GUSBP5,0.039272707,0.327383299
GUSBP9,-0.005840232,0.933121887
GVINP1,-0.113305031,0.000419828
GVINP2,-0.025502293,0.827061968
GVQW1,-0.052909791,0.223095249
GXYLT1,0.034354928,0.025272771
GXYLT2,0.065845964,0.010048738
GYG1,0.014221883,0.496638653
GYG2,0.139444114,0.000572102
GYG2P1,-0.056066208,0.392984092
GYPA,0.021954593,0.817711883
GYPB,-0.092307499,0.321156192
GYPC,0.02055461,0.682962277
GYPE,0.020845776,0.765177798
GYS1,0.080669427,2.51E-05
GYS2,0.004375175,0.962769383
GZF1,0.004024292,0.840930572
GZMA,-0.358622515,7.41E-05
GZMB,-0.256318003,0.009525582
GZMH,-0.240664859,0.012293956
GZMM,0.02059446,0.871377137
H19,0.015577758,0.906467996
H1F0,0.007139535,0.827061968
H1FNT,0.071790074,0.462804843
H1FX,0.055105307,0.045830417
H1FX-AS1,-0.045919872,0.275111514
H2AFJ,0.103530388,0.000209504
H2AFV,0.034219849,0.000196845
H2AFX,0.034838278,0.096324315
H2AFY,0.019670503,0.033476534
H2AFY2,0.002586307,0.930764861
H2AFZ,0.03969098,0.023991089
H2AFZP3,-0.036307978,0.631306102
H2AFZP4,-0.019466143,0.802384657
H2BFXP,0.138459848,0.127240176
H3F3A,0.013179403,0.776368164
H3F3AP4,-0.011145882,0.866950522
H3F3AP6,-0.063487292,0.551177707
H3F3B,0.045193967,0.076518652
H6PD,-0.022981611,0.339494231
HAAO,-0.019935818,0.77546037
HABP2,0.081734196,0.09348332
HABP4,0.036460889,0.013045942
HACE1,0.009337885,0.600727236
HACL1,-0.006258427,0.798712478
HADH,0.024099784,0.148995046
HADHA,0.035082505,0.021418685
HADHAP1,0.059632206,0.397915914
HADHB,0.010517175,0.753039048
HAGH,0.030551214,0.056052521
HAGHL,-0.05455563,0.010267237
HAMP,0.331840247,0.013953499
HAP1,0.213218238,2.99E-07
HAPLN1,-0.079954324,0.032297789
HAPLN2,-0.076293546,0.206103306
HAPLN3,0.042058046,0.569327781
HAPLN4,0.024807386,0.668102951
HAR1A,-0.005533487,0.922784925
HAR1B,-0.037234343,0.575779041
HARBI1,-0.045678888,0.055317255
HARS,0.022210784,0.08090923
HARS2,0.019787667,0.15863134
HAS1,0.076148077,0.023429789
HAS2,0.039135351,0.593096415
HAS2-AS1,-0.099088481,0.237325278
HAS3,-0.070491498,0.032475558
HAT1,0.036143883,0.020297019
HAUS1,-0.005339581,0.874782742
HAUS1P3,0.042501151,0.416637796
HAUS2,-0.019082289,0.241407006
HAUS3,0.003745177,0.843486763
HAUS4,0.023975896,0.40044145
HAUS5,0.02645769,0.237440722
HAUS6,0.009044627,0.575135128
HAUS7,0.051340488,0.002176208
HAUS8,0.088832246,0.001760876
HAVCR1,-0.012542366,0.923907876
HAVCR1P1,0.004927298,0.948061925
HAVCR2,-0.116272017,0.012842865
HAX1,0.007676364,0.636981954
HBA1,0.128342404,0.221064937
HBA2,0.080574442,0.565683484
HBB,0.259314215,0.014592354
HBD,0.108248174,0.439042316
HBE1,-0.161078917,0.09194263
HBEGF,-0.012380759,0.812994268
HBG1,0.067581755,0.731882705
HBG2,0.325289028,0.022450841
HBM,-0.059279503,0.633915841
HBP1,0.001744956,0.942388992
HBQ1,-0.190287894,1.57E-05
HBS1L,-0.037282242,0.007348092
