gene_name,SCZ.log2FC,SCZ.fdr
AC004067.5,-0.024401575,0.823719483
AC004069.2,0.006205886,0.962499148
AC004074.3,-0.03364523,0.774652618
AC004076.9,-0.114189134,0.210787574
AC004158.2,-0.078163048,0.182465375
AC004158.3,-0.132199336,1.14E-06
AC004166.6,-0.088626551,0.209353921
AC004221.2,-0.076870728,0.359196175
AC004231.2,0.059017161,0.566360428
AC004257.3,0.075458363,0.079364157
AC004381.6,0.027218817,0.376945937
AC004383.3,-0.070101063,0.426839272
AC004447.2,-0.082310096,0.039260288
AC004448.2,0.041219388,0.745211888
AC004448.5,0.000800633,0.994277567
AC004449.6,-0.049808137,0.591344496
AC004453.8,0.171504621,0.024059952
AC004463.6,0.049684074,0.285837048
AC004466.1,-0.005465285,0.920524072
AC004471.10,-0.068708411,0.460867227
AC004471.9,0.022070071,0.835048428
AC004538.3,0.083429574,0.259097618
AC004540.4,-0.04939734,0.499242135
AC004540.5,-0.034016827,0.598408336
AC004562.1,-0.115274066,0.222252138
AC004603.4,-0.08518133,0.275962597
AC004692.4,0.004452608,0.959945388
AC004692.5,-0.026692696,0.794398667
AC004706.1,0.131417421,0.529333067
AC004771.1,0.008844801,0.940290203
AC004797.1,-0.038691376,0.395902392
AC004817.1,-0.039976506,0.695696806
AC004840.9,-0.074897218,0.011367658
AC004878.2,-0.028715955,0.765899454
AC004878.3,0.125622212,0.345933196
AC004893.10,-0.033676133,0.683824576
AC004893.11,-0.028934404,0.367873299
AC004945.1,-0.025802029,0.715717945
AC004951.6,-0.060776098,0.234884222
AC004980.10,-0.065359571,0.477354653
AC004980.7,-0.091019306,0.002714033
AC004980.9,0.036069954,0.721971332
AC004987.9,0.001223038,0.98891604
AC005003.1,-0.100952037,9.49E-05
AC005007.3,0.019895525,0.78899992
AC005009.1,0.002667725,0.980433279
AC005009.2,0.038793155,0.728559789
AC005013.1,-0.066430565,0.698507614
AC005013.5,-0.093290899,0.316164128
AC005014.5,-0.165237797,0.014753999
AC005034.3,-0.001615298,0.985048852
AC005037.3,-0.160516752,0.053627034
AC005037.4,0.03263669,0.649458387
AC005042.2,-0.02777732,0.696518664
AC005042.4,0.032509211,0.663131581
AC005062.2,0.031355159,0.72165839
AC005076.5,-0.027204385,0.681180161
AC005082.12,-0.055632312,0.467191304
AC005104.3,0.068900719,0.326021014
AC005152.2,0.077282648,0.003297264
AC005154.6,0.010290463,0.720210604
AC005154.7,0.007281785,0.902958179
AC005154.8,-0.084750151,0.259557714
AC005162.5,-0.167908704,0.019238288
AC005197.2,0.117647269,0.045141115
AC005220.3,0.040496808,0.732205613
AC005224.2,0.014464787,0.801195171
AC005235.1,-0.073621049,0.127910721
AC005253.2,-0.060142453,0.35981148
AC005255.3,-0.107361141,0.223219006
AC005280.1,-0.1346312,0.564170283
AC005306.3,-0.106913305,0.111864037
AC005329.7,0.009219732,0.914541449
AC005330.2,-0.012374697,0.85335061
AC005336.4,0.315188596,1.23E-05
AC005339.2,-0.029251285,0.837414399
AC005356.1,-0.048604551,0.649658683
AC005363.9,-0.090428469,0.34075304
AC005477.1,-0.02505923,0.738856326
AC005481.5,0.000597081,0.994729916
AC005487.2,0.037361487,0.751892155
AC005498.3,-0.058763111,0.422519874
AC005498.4,-0.028015735,0.818505103
AC005517.3,0.014300472,0.851006827
AC005518.2,-0.030742151,0.667195058
AC005519.4,0.026394325,0.617983744
AC005523.2,-0.347450181,0.006308243
AC005523.3,-0.00753985,0.953702309
AC005532.5,0.053548677,0.666497992
AC005534.6,-0.007825355,0.942738306
AC005534.8,0.073193155,0.454167316
AC005537.2,0.041316135,0.704467421
AC005540.3,-0.046105051,0.638678459
AC005546.2,-0.064206007,0.373618815
AC005550.4,0.006292838,0.963848742
AC005562.1,-0.002351165,0.965623496
AC005592.1,-0.070825907,0.313158447
AC005592.2,-0.076110144,0.249191079
