sitelink	item	itemLabel	go	gene_symbol	entrez	ensembl_gene_id
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDK4	1019	ENSG00000135446
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	GMNN	51053	ENSG00000112312
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	MAD1L1	8379	ENSG00000002822
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	AHR	196	ENSG00000106546
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	BIRC5	332	ENSG00000089685
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	TP53	7157	ENSG00000141510
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	MCM6	4175	ENSG00000076003
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	EPB41	2035	ENSG00000159023
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDK6	1021	ENSG00000105810
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	MLH1	4292	ENSG00000076242
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CHEK2	11200	ENSG00000183765
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	ATM	472	ENSG00000149311
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	AURKB	9212	ENSG00000178999
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	MYOG	4656	ENSG00000122180
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	AURKA	6790	ENSG00000087586
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	EIF2AK4	440275	ENSG00000128829
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	MAP3K20	51776	ENSG00000091436
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	KMT5A	387893	ENSG00000183955
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	GMNC	647309	ENSG00000205835
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	TSG101	7251	ENSG00000074319
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDC25C	995	ENSG00000158402
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CEP55	55165	ENSG00000138180
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CENPX	201254	ENSG00000169689
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CEP164	22897	ENSG00000110274
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDKN2B	1030	ENSG00000147883
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CETN3	1070	ENSG00000153140
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CETN2	1069	ENSG00000147400
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CETN1	1068	ENSG00000177143
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	LATS1	9113	ENSG00000131023
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	PDCD6IP	10015	ENSG00000170248
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDKN2C	1031	ENSG00000123080
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	RAD21	5885	ENSG00000164754
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	PPP6C	5537	ENSG00000119414
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	NEDD9	4739	ENSG00000111859
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	NEK2	4751	ENSG00000117650
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	SMC1A	8243	ENSG00000072501
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	ARL3	403	ENSG00000138175
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	FOXN3	1112	ENSG00000053254
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	FANCD2	2177	ENSG00000144554
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CLTA	1211	ENSG00000122705
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CCNE1	898	ENSG00000105173
